id,title,duration_s,entropy_norm,effective_states,self_retention,transition_entropy_norm,detailed_balance_violation,metastability_slem,free_energy_range,heat_capacity,triplet_irreversibility,permutation_entropy,statistical_complexity,hurst_pc1,time_asymmetry_tau1,time_asymmetry_tau5,speed_mean,speed_cv,acceleration_mean,turn_angle_mean,tortuosity,rqa_recurrence_rate,rqa_determinism,rqa_mean_diag,rqa_max_diag,rqa_laminarity,rqa_trapping_time,topo_h1_count,topo_h1_sig_count,topo_h1_total,topo_h1_max,topo_h1_entropy
AMB01,Creepy Ambient Loop,30.0,0.26179855544643343,2.0665069586607374,0.869425505756118,0.14132208304789848,0.0001397116351849817,0.7737277506831297,3.886705197365008,0.21845945383329093,0.0,0.9304155720415854,0.11539364752746142,0.9608257576047041,-0.006988476105740268,-0.005825743962602364,1.1039491582983636,0.5915865401581026,1.964777707716383,2.1821057332601126,596.7139469196414,0.1058348851644941,0.4615835777126098,2.4826498422712935,6.0,0.622873900293255,2.7801047120418847,33,1,1.2786814719438553,0.15462994575500488,3.087585804301138
AMB02,Desolate 6,30.0,0.2870948315932091,2.216647440024017,0.7932845520326918,0.21345001005265135,0.017218216129072546,0.5496170697776984,6.210600076381946,1.092677734478906,0.03264469632133792,0.9241020631552478,0.12899395138244402,0.8300956496027299,-0.05722467907632437,-0.2666706665744058,0.7120696737498092,0.6865545026817956,1.0843473341342846,1.7147656773545124,348.7378049643472,0.08814400993171943,0.2514084507042253,2.1636363636363636,9.0,0.383450704225352,2.182364729458918,26,0,1.26424840092659,0.14350369572639465,2.9484643005893907
AMB03,Ambient loading screen game music Pack,30.0,0.2585635046849455,2.048054374906804,0.7560028783517635,0.21549186320325228,0.010724385194162484,0.49220070775741737,5.507361993162052,0.9246578110654043,0.020211720736183568,0.8878140299400954,0.19033517190405838,0.8370743439427497,-0.08918926208620405,-0.10842058532769346,0.9295564416794747,0.5346645947685205,1.4077936614478637,1.7012577500203434,804.9832531538183,0.05779019242706394,0.2158968850698173,2.1382978723404253,3.0,0.2830290010741137,2.252136752136752,43,7,2.4111248254776,0.22002935409545898,3.330140739761945
AMB04,ambient horror track01,30.0,0.3512245301239827,2.6479908197202127,0.7575139786763554,0.2541193818446081,0.0060809002690102795,0.6622220973077172,4.145399732931842,1.0049098125723035,0.014367428140345917,0.9491066195574089,0.08681676783880168,0.891884270518162,0.023492452515595032,0.0051336899304666745,0.7275065682143523,0.5359071614630859,1.1640026246281885,1.8616817165297463,242.26104838458397,0.0782122905027933,0.2888888888888888,2.1927710843373496,4.0,0.40793650793650776,2.3363636363636364,36,2,1.8443031013011932,0.18809908628463745,3.268465311057476
AMB05,PS2 horror mystery ambient theme,30.0,0.29394826929291396,2.2591703776691943,0.944045114539503,0.07833452410048812,0.006215354304414605,0.951030011177896,5.921578419001542,0.4814324622572882,0.004225924486513892,0.9689041418176353,0.05806432658289561,0.9257255849959225,-0.0005518521232591471,-0.011230360575726581,0.6100559494340239,0.5357952073478534,1.013560916471809,1.9848207852997073,137.181785006342,0.13364369956548727,0.6535067347886668,2.836693548387097,10.0,0.7821644217371109,3.1594746716697935,41,1,1.4898881614208221,0.1517406702041626,3.335483517727386
AMB06,Ambient The Beach Where Dreams Die,30.0,0.2992774571275407,2.2927989094543544,0.759048158723616,0.22671612387713827,0.029344882399693805,0.5078039404430285,4.66107781776691,0.6425637990645144,0.024853810901948055,0.9034352673510743,0.15484681098154526,0.808997748744273,-0.02782470932897554,-0.05319994474997042,1.3878346253742093,0.7568236628600685,2.145804955581717,1.755850212840744,532.6632923602303,0.06989447548106766,0.20603907637655408,2.128440366972477,3.0,0.3068383658969803,2.2435064935064934,36,0,1.4446822702884674,0.1439744234085083,3.2333661773018925
AMB07,Sunset Walk Ambient Quiet Sweet Loop,29.979138321995464,0.7175625793023811,7.311920158684101,0.6033717834960062,0.40635415051922225,0.19445984915705383,0.920593363836133,5.2203558244378065,0.6217358538363759,0.3161382681497389,0.7855073821606805,0.279939026758004,0.7306412203767713,0.014101168193492174,0.08449257320828234,1.6461030968055934,1.000578612667122,2.3218337738498938,1.5095949542580882,235.07066681812384,0.17312228429546866,0.4829688060236643,2.4625228519195614,8.0,0.5548583721764072,2.607413647851727,34,0,0.9470564723014832,0.12108087539672852,3.1398544995530315
AMB08,Crimson Space Station Bgm Ambient Music 2 Sh,30.0,0.34284693774988284,2.5871931263854933,0.775838509316769,0.21942229187125234,0.025190771960958258,0.7583801371905422,3.344878951027554,0.5395656508770775,0.028163738801961883,0.8968520768831357,0.157813651351126,0.8179105672693116,-0.008409024772403437,-0.08901707743660499,0.5999562398151931,0.5834667320501357,0.9332257348930852,1.7706542541537673,207.17127573818064,0.07653631284916201,0.2862935928629358,2.1925465838509317,5.0,0.39740470397404687,2.2121896162528216,29,1,1.353741094470024,0.16923367977142334,3.0200408551671467
AMB09,Feel good slow ambient track with a beat,30.0,0.7390709776019168,7.761222476613842,0.5598380656610461,0.4455521824130136,0.1538376220053236,0.8450782010828124,4.753590190467916,0.3552945316866474,0.21889334241848746,0.878819599787785,0.18675869165904616,0.8629011058367084,0.06972590440340753,0.04746851859721128,1.6478065089412592,1.2395542010743397,2.4540457034915835,1.4795561402729862,753.4020727277676,0.25977653631284914,0.7154121863799282,3.8140127388535032,37.0,0.7922341696535243,4.477380148548278,33,1,1.1171365454792976,0.2940142750740051,2.7711674698466116
AMB10,ambient sound creepy,30.0,0.243889057499119,1.966399194700596,0.752503485866395,0.20470402132961985,0.01457725947521862,0.4448484358672816,6.086774726269771,0.33973493011315914,0.01563812549475419,0.9657587920268866,0.06181901224345659,0.7734474096712922,-0.022893168955771367,0.04905434555016703,0.7390408450094863,0.48426517051069606,1.2198048864871722,1.9446601413374507,278.627793613906,0.06958410924891371,0.14005352363960744,2.0128205128205128,3.0,0.23728813559322023,2.180327868852459,35,2,2.078369051218033,0.26401445269584656,3.2465942139697876
