id,ACO01,ACO02,ACO03,ACO04,ACO05,ACO06,ACO07,ACO08,ACO09,ACO10,AMB01,AMB02,AMB03,AMB04,AMB05,AMB06,AMB07,AMB08,AMB09,AMB10,CHP01,CHP02,CHP03,CHP04,CHP05,CHP06,CHP07,CHP08,CHP09,CHP10,CLA01,CLA02,CLA03,CLA04,CLA05,CLA06,CLA07,CLA08,CLA09,CLA10,FNK01,FNK02,FNK03,FNK04,FNK05,FNK06,FNK07,FNK08,FNK09,FNK10,HOU01,HOU02,HOU03,HOU04,HOU05,HOU06,HOU07,HOU08,HOU09,HOU10,JAZ01,JAZ02,JAZ03,JAZ04,JAZ05,JAZ06,JAZ07,JAZ08,JAZ09,JAZ10,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10
HOU09,6.662199931185334,5.358667901647252,6.3584214317034595,6.535663575875445,5.593280806394521,5.861145551384497,5.269716912926257,6.087324327545433,5.156835491941797,4.421961884463887,8.318121900061492,4.831995194026607,6.280544706394155,6.11436341745848,8.929693184510091,4.606912304967938,6.858785977730521,5.962258295373984,11.87892437802852,6.364413172617135,8.343633843023186,7.677989424490028,5.777751932649918,7.282058356773276,5.236620329170079,9.675022558865347,5.335432677341164,4.6962440511745775,8.11448458604194,5.895055959418364,6.673839668274718,5.151338149358233,5.573812447031708,6.657277202579765,6.168209202841189,5.822931857206473,7.565395790335052,6.064728615874543,4.777079847494553,8.13644137944072,4.5358438005301505,5.489990360544264,7.387940999412301,9.422702950124394,4.962301886952402,5.252334759561741,10.771609290078427,4.360112267950573,8.334982251104073,4.700108677449955,6.211014427604057,7.158265960588263,6.9003792405138,6.330084197528449,5.855292866420336,7.401141338722228,7.1196803577789955,9.090456605421503,0.0,5.563442247416334,5.841331118171113,5.55947994550512,5.513289794214106,5.232850447467566,5.382301644471392,7.229543849761459,5.093591597699656,3.848518123469711,6.692153142339466,4.121132533350125,12.33054281543139,10.853590325411536,6.763640667289862,7.511475378585311,6.710318433390083,5.66765481171589,5.916986623112108,2.918523463109506,8.576732891940743,5.8510076240012046
HOU10,7.05024121674206,5.448065926108398,7.448806827196627,7.458530462122652,4.8326530993816705,6.330318146090879,5.8690630423113666,5.657503952160456,4.7413059133391435,4.566012093981333,7.914347838293448,6.666893340635336,5.541279137754816,5.238390489220029,7.898194784399668,5.961702455463598,8.250006217376958,6.605169831283971,12.314031147522277,6.2082461688922725,9.374647928411049,8.635354725162038,5.954247614046799,5.275175318630211,6.5440125950208925,10.446265468183572,5.412848864328538,4.575608934257051,9.249974921805492,4.498219375146899,5.142839072707126,5.9913062911021155,4.5135133056374315,6.517745555494563,5.575484703614012,5.589444677761951,7.364726682290211,6.396089624686876,6.061417689340975,10.515227794471643,6.904239112569833,6.466037712126297,6.686695250624767,10.5606087267817,5.690437561933122,5.8211957147416005,11.409612455607709,5.035996582470375,8.829644620097204,5.392469191742845,7.974200919339289,7.8520174300711405,7.43220908065809,5.535080969690928,6.118038793436746,8.3073174338094,7.886478160721933,9.84618718237389,5.563442247416334,0.0,4.440390349324003,6.880418554936565,4.800804471289827,6.081287614324002,6.299750297893808,7.4686077999383285,4.636813396366103,5.267089076362478,5.862926129470821,6.569038611184466,12.777661005725962,10.779015059470689,5.585698761816388,8.673165812923608,8.3048425244081,5.0769382551396225,3.5258113918969793,5.9633136419053,7.670189057731868,6.749138017361206
JAZ01,6.3666542862219675,4.1160707533211465,8.446532110318861,5.3138083227787885,5.75902145857127,4.8487117577183865,4.49475780569131,6.078430743790417,4.891717932168243,6.004974216922524,6.586760777058435,5.521314835282144,6.968133843316228,4.558671407949431,6.389885883421642,4.993960392588425,6.253865714417711,5.1117364007529,10.42036977054291,6.30006902432444,8.292528120967544,7.757100518783209,7.28509203907905,5.365283582967967,3.93966018477054,9.755297908863684,5.783213824855576,5.463888515093492,6.912000133284234,5.516932898771542,4.976164660948409,3.7310625664176515,3.0711818790601506,3.8720658107486163,3.7131973359706505,4.073174347205819,3.8124152976289145,7.162578291408922,5.93464431987655,9.728816510207068,5.9044425673227705,6.584114102095476,5.723064842543972,8.87579626124322,4.752908511361185,4.858302181755,10.16591091751228,5.05603360640002,6.924042787978144,3.26109206231035,7.717589943440724,7.720159951823137,6.476885237227779,3.1890126570725243,6.700787343409277,6.648331341531877,6.31927988344342,7.195515460361693,5.841331118171113,4.440390349324003,0.0,5.007930861702818,5.923767098734801,4.382552220752203,6.79200041171923,7.891644712536426,4.639094494066498,4.720853697467042,5.200975117764652,6.152955930872142,10.986710409868115,8.54382927199789,5.80498079537523,8.358033107275038,7.429451542469938,4.685213522089672,4.3548511095755105,5.87952477897712,6.543114636952382,6.692922124852076
JAZ02,8.572482010095204,3.6259342597112565,9.634717838566786,4.644313427266163,5.57487703427781,7.324481037351112,5.226659663744341,7.8742718442378346,4.913705415446635,7.204448429400155,7.484528961394447,6.400771471271858,7.838988622684033,6.505436274164581,8.854366077298971,4.806667064795929,5.946051888500034,6.557300029423834,10.909491502339133,7.180689550490414,8.252020801550405,7.4953201083280705,6.96843536716939,6.540883709264353,3.663669865625958,7.97279250008813,5.717219439085263,5.89714701053728,7.1090972418698595,6.7491393782805185,7.339228053437086,4.346627879537498,5.772882506402336,6.638927714385535,4.785569737519997,5.631236942110777,5.794048072946161,8.588275514498774,5.611519115233971,7.922965352817554,4.634407749720228,4.4936440924958845,6.144739277004945,8.012542450756266,4.843191035228532,4.2814366007155975,9.839109052815513,5.906576825710933,7.075555137327836,4.171918601128421,5.205917038540505,5.625354431145207,7.311846913404945,4.718572188910151,5.8352014224462465,4.477192243014641,4.366003421449316,6.503403088851677,5.55947994550512,6.880418554936565,5.007930861702818,0.0,6.186882280294963,6.180180054531936,6.022234650429689,7.578206913353169,6.54079936908268,5.409162870543244,6.824747544513788,4.873546603012613,13.06355490560169,10.350461576742944,6.652378108816593,6.127929002343824,6.480261780656857,6.219766983957611,7.47306975589768,4.803653496969247,9.179928053557736,5.409404524703524
JAZ03,9.294710399092812,5.423460001345678,8.677210975618497,6.26099235078933,5.093660812009628,7.450246555108007,6.005210874369783,7.046406870460656,5.3421738061593995,5.144538616060047,8.459806260732678,7.807847791180111,6.731889371960714,6.530149859983839,10.206640230132164,6.182203422275502,7.295121315773634,6.617916892857647,11.717437118073956,7.63578966333389,9.956737850530573,8.183476342516052,3.7714591749329602,6.414068489313922,5.560972627373514,7.653842641641017,6.125729505738536,5.646383553681618,9.898760154489372,5.037065772457606,6.292303755340887,6.606114441907717,5.781944321419853,7.8883567307246105,6.234874463056054,5.8302277590924,7.789247491907787,8.46962546783651,6.678907442258982,7.4453720447159215,6.016167336434836,5.680165528977988,6.20188133011542,8.219985689158111,5.87020397349612,3.7221436336246074,8.335639351752965,4.0118252023911225,7.317102322269417,4.844494853781056,7.108172417134132,6.291428322437008,7.887207210182475,5.7959626850807515,5.286877072656685,6.771662437637479,6.547388690103128,8.767543057269455,5.513289794214106,4.800804471289827,5.923767098734801,6.186882280294963,0.0,7.1462648532589945,4.143013386953164,5.667314566126907,6.091986940781178,5.271314898279102,5.33653934519465,6.069202501956951,13.532587148938477,11.491908825067854,6.042069901652142,5.1698973479860815,6.141202573893781,5.511204016008921,6.1005481948507825,4.023560314238663,10.041765939743543,4.833778480336751
JAZ04,5.485081693113553,5.311179924313954,8.107667637414426,6.197643517396768,7.07374144932002,3.3517306897381505,5.081390958587935,5.670891600232007,6.236411428011811,5.265224288674346,6.7376220075060775,4.218500249963521,7.326651640211417,5.307695756970236,6.769005118989508,4.411460553326809,6.043852987340943,4.659820212234157,10.90018972909409,7.463770605435063,7.794262778768369,6.886514328868993,8.23694823623577,7.4391280142772365,5.009013796759249,11.136268776856637,6.384484859787488,7.023996070411622,6.232639127750741,6.449900127166313,6.457113531927336,3.350060020600494,3.9802345934969106,4.270738419816178,5.166511386088858,5.727677658158196,5.019705323010284,6.942488215303321,6.219560391932987,9.43570428513855,4.954757009225853,7.4507428635400315,7.881958536058587,9.667375649802228,4.8798753376919874,6.253320043902946,11.710992215071228,4.727776248918324,8.596964707637838,4.424020750952957,8.070721534353028,8.238313976173803,4.854792230987209,5.021780692412906,7.67380956311914,8.320200959363127,6.9421978836595,7.852466595539339,5.232850447467566,6.081287614324002,4.382552220752203,6.180180054531936,7.1462648532589945,0.0,7.0405458267794865,8.639387997475447,4.462727694092052,3.7983436965202655,7.411551893996936,5.650502546895114,9.893496547464768,8.35798800568438,7.034020467472047,9.528396887249029,7.867768645519401,6.3243946986264215,5.182721386876764,5.886365713789212,6.780956832615544,7.683399829095503
JAZ05,9.908448514282394,4.952078800811027,9.150783010502934,5.797935488872066,5.9644501735604605,8.060297395413457,6.4468592950011,7.19772019145888,5.365496282878434,5.658816377488866,9.836767988096398,8.180630745469616,7.878046084201506,7.612457934463494,10.843176970905716,6.547451951787534,6.797478344987635,7.304039369107475,12.087436691536794,8.333227146658842,10.326366328146605,6.784894352073553,5.040947782252592,8.238596484791977,5.760921114644999,7.240248750439109,6.023078895525204,5.750985720230973,10.167967977504345,5.393873153950152,7.163584341827533,6.665020682283383,6.551765261246664,8.547471293998461,7.138802138827702,6.988858577791783,8.015907197376077,8.81833553956625,6.434715198857744,6.7472724884118565,5.691794166384582,5.454704860287622,6.207811867348288,9.183460339917483,5.385089934595214,3.4467329691257778,8.91823296140457,4.322661104587117,8.270288484830088,5.04007282851713,5.564236904828934,5.931105059537162,7.278142488730666,6.475299997581014,6.750654582810573,6.060164019101568,6.61584033155521,8.972289932485483,5.382301644471392,6.299750297893808,6.79200041171923,6.022234650429689,4.143013386953164,7.0405458267794865,0.0,5.838986272630232,6.146421196057233,4.601672379412356,6.123790502553612,4.213392373703481,13.7966545435534,12.071969306616348,8.172451899784727,5.104688359483695,4.696430643491902,7.289110506610251,6.935875221665617,3.655784747492255,11.22295864256963,4.817134862936044
JAZ06,11.499392769246413,7.7126684590596035,10.901517260037357,7.913621653489113,8.237628953674466,9.843966301901826,7.133661615791751,6.661053074598538,6.841761618388342,7.128768001067467,11.563423239327266,10.347995767803372,8.616824330633202,9.8746844125617,12.682716318056382,8.864223331947,6.878534413779355,9.626585135902175,11.922412769727963,10.927894696334471,11.220330939445502,9.058526312536705,7.421859944402925,9.953213614398456,7.66469023193822,8.899745638067847,7.539794032624928,8.269318627344207,11.005807389302326,8.028603515980903,8.985467342378245,8.017067167953574,8.390857029699694,9.622561692599303,9.185239058663292,8.975360418152503,8.94667511038916,10.53124230490237,9.1072881205167,6.266342831884967,8.126278722822878,7.39977098992361,8.71291123496379,10.359864175924592,7.982486335261466,5.808315223550987,9.397631866173398,5.139007876586032,10.331153027865916,7.450530029054037,8.808472424748205,7.608750970819701,10.031251550293442,8.25041482618411,8.731643423428125,8.523309417953277,8.151321508932364,10.40466591918375,7.229543849761459,7.4686077999383285,7.891644712536426,7.578206913353169,5.667314566126907,8.639387997475447,5.838986272630232,0.0,7.290909581710047,7.169783104680808,5.377823647203759,6.689941482354731,14.27112419858733,13.200322806986717,9.668713050936047,6.057438178707681,5.1035168469978665,9.0093938702747,7.653718004432339,6.227074333805523,12.003852204362769,7.984997821690468
JAZ07,7.406219412998014,4.913115824099056,8.564049993743296,6.955544526905364,5.424813922511021,5.589397637555671,5.599855348764597,4.879579789359854,4.861965140822737,3.1811439210030845,8.656388022350198,6.2510471479208665,6.722776622865681,5.315674705110406,8.330170048258815,5.53515647989196,7.149525508277144,6.3413166814329855,12.43557303559291,7.574652321672172,9.258735901399177,8.486671914799523,7.160806964854293,7.655611530596792,6.081540928256351,10.96299639373467,4.385562886287119,5.543785506768214,8.394786074402681,5.264432902389352,6.050813947548108,4.672677403997552,4.975456310300999,6.1044416827551,4.697684126251612,6.219446026585718,6.833649070714106,7.376463649151349,5.5591806326809285,9.613336842733764,6.543900532239504,6.652275480241504,7.431822340598279,11.256184051018158,5.52881512600302,5.250597700899289,11.984996044244927,4.7513247078344225,9.67998930211121,4.65337777599661,7.925211156207725,7.801029354971017,7.177153823839716,6.021334163294588,7.748459390318926,8.168292879958846,7.66722069151505,9.430800686564309,5.093591597699656,4.636813396366103,4.639094494066498,6.54079936908268,6.091986940781178,4.462727694092052,6.146421196057233,7.290909581710047,0.0,3.574260922002655,6.383156276049844,5.286788310818356,12.017962956842226,10.668846759997324,6.68456509701062,8.865308584987329,7.369880642769702,6.174309499511566,4.672729294874338,5.324100282906651,7.8176281552598255,7.388403609489632
JAZ08,7.407206157429952,3.969481447654622,7.74211441492202,5.555304866709582,5.462602815997878,4.76655003225915,5.056242438310185,5.820631070486611,5.1059170101582,3.5920744337775177,8.183449397738853,5.274048687898385,6.688025537025605,5.433818686827561,8.678096948417567,4.719157891118423,5.892755691630938,5.133194630746189,11.55796780146377,7.179703470222284,8.45682424816241,6.440209735532372,6.437190046382166,7.397953557787578,4.881911009459662,9.025502461113662,5.063177717979718,5.403813035201432,7.033187274378991,5.127385000169341,5.9174677643961155,3.642813350798107,4.693924265096179,6.060950812366678,5.074046076702163,5.780698528451935,6.313696552211424,7.39406025354056,5.532983275851404,8.197011243486736,4.796081622990009,5.620148905416267,6.10478500856836,9.37222860733779,4.311979712857478,4.080913559558388,10.092875443877467,3.7795042953840516,7.846837731143607,3.3186215640339807,6.181846061149944,6.5711419159158835,5.1508512637064925,5.100021650963518,6.277287965055877,6.87895876487308,6.422017045755443,8.048178298872722,3.848518123469711,5.267089076362478,4.720853697467042,5.409162870543244,5.271314898279102,3.7983436965202655,4.601672379412356,7.169783104680808,3.574260922002655,0.0,6.163017218998143,4.044335656075562,11.791317349740451,10.416866401617426,6.212302673335149,7.651684546224606,6.005831609780692,5.511611451596515,5.028989820202881,3.8483047884717334,8.690768837989008,5.593694483484377
