id,control,rep,metric,original,control_value,delta
R1,block_shuffle,27,metastability_slem,0.732843657120453,0.7128122949030014,0.02003136221745161
R1,block_shuffle,27,phase_jump_count,3,3,0
R1,block_shuffle,28,self_retention,0.567632850241546,0.5512422360248448,0.016390614216701183
R1,block_shuffle,28,transition_entropy_norm,0.46481013232330964,0.48106564717758066,-0.016255514854271014
R1,block_shuffle,28,irreversibility,0.14341455645803472,0.14091614906832298,0.002498407389711743
R1,block_shuffle,28,metastability_slem,0.732843657120453,0.7129578706623513,0.019885786458101684
R1,block_shuffle,28,phase_jump_count,3,1,2
R1,block_shuffle,29,self_retention,0.567632850241546,0.5473534971644612,0.020279353077084727
R1,block_shuffle,29,transition_entropy_norm,0.46481013232330964,0.48140995608761133,-0.01659982376430169
R1,block_shuffle,29,irreversibility,0.14341455645803472,0.15067512827437213,-0.007260571816337408
R1,block_shuffle,29,metastability_slem,0.732843657120453,0.7011896745981339,0.0316539825223191
R1,block_shuffle,29,phase_jump_count,3,7,-4
R1,reverse,0,self_retention,0.567632850241546,0.5675803402646503,5.250997689565384e-05
R1,reverse,0,transition_entropy_norm,0.46481013232330964,0.46482614464583455,-1.6012322524905365e-05
R1,reverse,0,irreversibility,0.14341455645803472,0.1434377531731029,-2.3196715068174445e-05
R1,reverse,0,metastability_slem,0.732843657120453,0.7311319139460949,0.0017117431743580713
R1,reverse,0,phase_jump_count,3,4,-1
R2,shuffle,0,self_retention,0.58790586088134,0.19430191736429922,0.39360394351704076
R2,shuffle,0,transition_entropy_norm,0.4266544443633422,0.6637001136065567,-0.23704566924321446
R2,shuffle,0,irreversibility,0.054568602631656415,0.10845935727788279,-0.05389075464622638
R2,shuffle,0,metastability_slem,0.9122397156715284,0.1277949726709578,0.7844447430005705
R2,shuffle,0,phase_jump_count,3,7,-4
R2,shuffle,1,self_retention,0.58790586088134,0.19889682024659314,0.38900904063474684
R2,shuffle,1,transition_entropy_norm,0.4266544443633422,0.6670303419851509,-0.24037589762180867
R2,shuffle,1,irreversibility,0.054568602631656415,0.085565959024752,-0.030997356393095588
R2,shuffle,1,metastability_slem,0.9122397156715284,0.1303908293954327,0.7818488862760957
R2,shuffle,1,phase_jump_count,3,4,-1
R2,shuffle,2,self_retention,0.58790586088134,0.2038356245032528,0.38407023637808724
R2,shuffle,2,transition_entropy_norm,0.4266544443633422,0.6653596027189016,-0.2387051583555594
R2,shuffle,2,irreversibility,0.054568602631656415,0.08766300668217009,-0.03309440405051367
R2,shuffle,2,metastability_slem,0.9122397156715284,0.11051500958640297,0.8017247060851255
R2,shuffle,2,phase_jump_count,3,4,-1
R2,shuffle,3,self_retention,0.58790586088134,0.21440159451191249,0.3735042663694275
R2,shuffle,3,transition_entropy_norm,0.4266544443633422,0.6643041291151052,-0.23764968475176296
R2,shuffle,3,irreversibility,0.054568602631656415,0.1017660146472606,-0.04719741201560418
R2,shuffle,3,metastability_slem,0.9122397156715284,0.12900482486325152,0.7832348908082769
R2,shuffle,3,phase_jump_count,3,5,-2
R2,shuffle,4,self_retention,0.58790586088134,0.17733921057904228,0.4105666503022977
R2,shuffle,4,transition_entropy_norm,0.4266544443633422,0.6617885587991427,-0.23513411443580046
R2,shuffle,4,irreversibility,0.054568602631656415,0.12586655980765382,-0.0712979571759974
R2,shuffle,4,metastability_slem,0.9122397156715284,0.15080417907348523,0.7614355365980432
R2,shuffle,4,phase_jump_count,3,4,-1
R2,shuffle,5,self_retention,0.58790586088134,0.1879417434140073,0.39996411746733274
R2,shuffle,5,transition_entropy_norm,0.4266544443633422,0.664569508648962,-0.23791506428561982
R2,shuffle,5,irreversibility,0.054568602631656415,0.12186763760976653,-0.06729903497811011
R2,shuffle,5,metastability_slem,0.9122397156715284,0.14316192654517484,0.7690777891263536
R2,shuffle,5,phase_jump_count,3,2,1
R2,shuffle,6,self_retention,0.58790586088134,0.2283028369984892,0.3596030238828508
R2,shuffle,6,transition_entropy_norm,0.4266544443633422,0.6566937157713812,-0.23003927140803904
R2,shuffle,6,irreversibility,0.054568602631656415,0.12829444351183483,-0.07372584088017842
R2,shuffle,6,metastability_slem,0.9122397156715284,0.10651490830820644,0.805724807363322
R2,shuffle,6,phase_jump_count,3,7,-4
R2,shuffle,7,self_retention,0.58790586088134,0.22867160889601282,0.3592342519853272
R2,shuffle,7,transition_entropy_norm,0.4266544443633422,0.6674414011055012,-0.240786956742159
R2,shuffle,7,irreversibility,0.054568602631656415,0.09617311160088159,-0.04160450896922517
R2,shuffle,7,metastability_slem,0.9122397156715284,0.12355217509865925,0.7886875405728692
R2,shuffle,7,phase_jump_count,3,4,-1
R2,shuffle,8,self_retention,0.58790586088134,0.19764652203349914,0.39025933884784086
R2,shuffle,8,transition_entropy_norm,0.4266544443633422,0.6641100811857162,-0.23745563682237403
R2,shuffle,8,irreversibility,0.054568602631656415,0.11866739277619145,-0.06409879014453504
R2,shuffle,8,metastability_slem,0.9122397156715284,0.11854194162652841,0.793697774045
R2,shuffle,8,phase_jump_count,3,4,-1
R2,shuffle,9,self_retention,0.58790586088134,0.21604834648312907,0.3718575143982109
R2,shuffle,9,transition_entropy_norm,0.4266544443633422,0.6655044590689425,-0.2388500147056003
R2,shuffle,9,irreversibility,0.054568602631656415,0.08955850260198085,-0.03498989997032444
R2,shuffle,9,metastability_slem,0.9122397156715284,0.1288259848473762,0.7834137308241522
R2,shuffle,9,phase_jump_count,3,1,2
R2,shuffle,10,self_retention,0.58790586088134,0.2502098371663589,0.3376960237149811
R2,shuffle,10,transition_entropy_norm,0.4266544443633422,0.6662008348812413,-0.23954639051789905
R2,shuffle,10,irreversibility,0.054568602631656415,0.08116501594762465,-0.026596413315968237
R2,shuffle,10,metastability_slem,0.9122397156715284,0.12064067099955801,0.7915990446719704
R2,shuffle,10,phase_jump_count,3,4,-1
R2,shuffle,11,self_retention,0.58790586088134,0.22527115972930378,0.3626347011520362
R2,shuffle,11,transition_entropy_norm,0.4266544443633422,0.6664418547928507,-0.23978741042950846
R2,shuffle,11,irreversibility,0.054568602631656415,0.07119681097617503,-0.016628208344518614
R2,shuffle,11,metastability_slem,0.9122397156715284,0.1323191483007259,0.7799205673708025
R2,shuffle,11,phase_jump_count,3,2,1
R2,shuffle,12,self_retention,0.58790586088134,0.21433925894195757,0.3735666019393824
R2,shuffle,12,transition_entropy_norm,0.4266544443633422,0.6662390191220842,-0.23958457475874195
R2,shuffle,12,irreversibility,0.054568602631656415,0.10724994645534375,-0.05268134382368733
R2,shuffle,12,metastability_slem,0.9122397156715284,0.10078794139606276,0.8114517742754657
R2,shuffle,12,phase_jump_count,3,1,2
R2,shuffle,13,self_retention,0.58790586088134,0.21298609235754792,0.37491976852379205
R2,shuffle,13,transition_entropy_norm,0.4266544443633422,0.6598979044303928,-0.23324346006705055
R2,shuffle,13,irreversibility,0.054568602631656415,0.1064170942479071,-0.051848491616250686
R2,shuffle,13,metastability_slem,0.9122397156715284,0.12393214557951898,0.7883075700920095
R2,shuffle,13,phase_jump_count,3,1,2
R2,shuffle,14,self_retention,0.58790586088134,0.21289515157133587,0.37501070931000413
R2,shuffle,14,transition_entropy_norm,0.4266544443633422,0.6664274047045808,-0.23977296034123863
R2,shuffle,14,irreversibility,0.054568602631656415,0.10929822935014369,-0.05472962671848727
R2,shuffle,14,metastability_slem,0.9122397156715284,0.09187160386388517,0.8203681118076432
R2,shuffle,14,phase_jump_count,3,5,-2
